Loaded 3616103 Gaussians
min xyz= [-64.89617, -82.048355, -71.523445]
max xyz= [54.875557, 14.872151, 97.003265]
rotation=[0.83150196, 0.056997716, -0.5359042, 0.13476826]
rotation=[0.82646626, 0.10575779, -0.5411494, 0.11369271]
rotation=[0.93510056, 0.19858947, -0.2615184, 0.13325638]
rotation=[0.9417081, -0.016239328, -0.32631344, -0.08026039]
rotation=[0.8267285, 0.32559973, -0.437795, 0.13725989]
rotation=[0.83634675, 0.26645887, -0.44713825, 0.17202109]
rotation=[0.8383525, 0.2613562, -0.46552974, 0.110182166]
rotation=[0.8623626, 0.34856337, -0.2355866, 0.28166166]
rotation=[0.8243943, 0.40050462, -0.16252814, 0.3654514]
rotation=[0.51472276, 0.034370948, -0.51227164, -0.6866271]
rotation=[0.86578935, -0.18110293, -0.39710033, -0.24478947]
rotation=[0.87341416, 0.11156531, -0.47265735, 0.036000557]
rotation=[0.864724, -0.085819155, -0.4344432, -0.23695262]
rotation=[0.8241155, 0.08943896, -0.55918866, 0.01193455]
rotation=[0.8583223, -0.16708386, -0.41317087, -0.2542747]
rotation=[0.8590327, -0.18598239, -0.40505913, -0.2517942]
rotation=[0.83464944, -0.22498672, -0.37736544, -0.33216965]
rotation=[0.8982134, 0.026318746, -0.4387655, -0.0022220241]
rotation=[0.67698026, 0.5808072, -0.4304212, 0.1381963]
rotation=[0.85133046, 0.2500326, -0.4437326, 0.12578379]
rotation=[0.81561047, 0.3449823, -0.4348285, 0.16337398]
rotation=[0.7717304, 0.4793933, -0.31921923, 0.26965442]
rotation=[0.766383, 0.41418347, -0.38013875, 0.31081128]
rotation=[0.7563715, 0.47782174, -0.39646843, 0.2059157]
rotation=[0.8557875, 0.23946714, -0.45408583, 0.06394728]
rotation=[0.7938864, 0.24391092, -0.5149929, 0.21221252]
rotation=[0.81672347, 0.34068424, -0.4432459, 0.14293443]
rotation=[0.6993186, 0.2730553, -0.58074725, 0.3148443]
rotation=[0.8650009, 0.26445293, -0.40532193, 0.13248487]
rotation=[0.8121674, 0.32945353, -0.45852438, 0.14696862]
rotation=[0.8406752, 0.3356812, -0.41239414, 0.10254061]
rotation=[0.8358069, -0.0072529125, -0.5293234, -0.14557114]
rotation=[0.8740706, 0.11263983, -0.4711685, -0.03623664]
rotation=[0.87807536, 0.14366737, -0.45636973, -0.008366422]
rotation=[0.88514364, 0.0049432535, -0.43018723, 0.1772997]
rotation=[0.87320316, 0.14204878, -0.44822976, 0.12817338]
rotation=[0.849232, 0.09375747, -0.5196198, 0.003123836]
rotation=[0.7382518, -0.060546827, -0.5258168, -0.418133]
rotation=[0.8857441, 0.09460518, -0.3760126, -0.2551899]
rotation=[0.8727455, 0.07926239, -0.47831532, -0.05698476]
rotation=[0.9264748, -0.14111207, -0.3108331, 0.15847589]
rotation=[0.9272021, -0.09270634, -0.3553756, 0.07355215]
rotation=[0.8756919, -0.0439181, -0.4478854, 0.17502442]
rotation=[0.8830008, -0.044406082, -0.4346577, 0.17149487]
rotation=[0.90387917, -0.05120688, -0.40716508, 0.12081693]
rotation=[0.816842, 0.31410488, -0.45677745, 0.15956691]
rotation=[0.8552454, 0.24226862, -0.44720444, 0.0993451]
rotation=[0.8570757, 0.23400424, -0.44985762, 0.09105675]
rotation=[0.8251344, 0.28784955, -0.46524695, 0.14085837]
rotation=[0.81992275, 0.2975066, -0.46544436, 0.15026024]
rotation=[0.83701956, 0.28915042, -0.45035467, 0.11388992]
rotation=[0.8278643, 0.25084752, -0.4731474, 0.16687633]
rotation=[0.87244713, 0.2520912, -0.39918482, 0.12624387]
rotation=[0.8421793, -0.029806491, -0.5376535, -0.027828204]
rotation=[0.88542587, -0.11478884, -0.44482782, 0.070518106]
rotation=[0.7314221, 0.5022394, -0.32006955, 0.33216372]
rotation=[0.87300754, 0.20403121, -0.44081676, 0.04370098]
rotation=[0.8616579, 0.1997471, -0.46163735, 0.067362495]
rotation=[0.71600014, 0.5372333, -0.35963574, 0.2634127]
rotation=[0.82023203, 0.36031616, -0.39762238, 0.1982121]
rotation=[0.84542644, 0.2346966, -0.47006634, 0.09596478]
rotation=[0.90906376, 0.021495847, -0.40374738, -0.10064271]
rotation=[0.8097948, 0.3585729, -0.41575018, 0.2069049]
rotation=[0.8743045, 0.086830854, -0.47466922, -0.05235593]
rotation=[0.8767875, 0.04602366, -0.47325632, -0.07179084]
rotation=[0.89469886, 0.0663866, -0.43633837, -0.06867073]
rotation=[0.8808255, 0.055628035, -0.46487778, -0.070288576]
rotation=[0.8713785, 0.23955183, -0.40678898, 0.13355601]
rotation=[0.8365836, 0.12424616, -0.53241205, -0.035044838]
rotation=[0.82203263, 0.2753332, -0.47392476, 0.15443239]
rotation=[0.841449, 0.09066883, -0.52836585, -0.06761758]
rotation=[0.8254773, 0.27230832, -0.47537056, 0.135861]
rotation=[0.81811714, 0.33928925, -0.4198901, 0.19813989]
rotation=[0.7704495, 0.36804494, -0.46764612, 0.22859925]
rotation=[0.7698537, 0.30190924, -0.4798356, 0.29314473]
rotation=[0.8514386, 0.33898404, -0.3462312, 0.20066431]
rotation=[0.8154819, 0.3772626, -0.40712935, 0.16403623]
rotation=[0.6927623, 0.31163913, -0.6132925, 0.21641083]
rotation=[0.8770569, 0.28441694, -0.3555009, 0.15328838]
rotation=[0.8676201, 0.15086333, -0.47334844, 0.020416165]
rotation=[0.82459563, 0.30973658, -0.44877365, 0.15069012]
rotation=[0.7616939, 0.41900098, -0.4275882, 0.24784869]
rotation=[0.89467806, 0.24767046, -0.33101687, 0.16922878]
rotation=[0.84432435, 0.25356847, -0.44495702, 0.15758401]
rotation=[0.6904479, 0.57505906, -0.33375934, 0.28494456]
rotation=[0.84733146, 0.1715967, -0.5000163, -0.050672617]
rotation=[0.8774091, 0.13044682, -0.45697537, -0.065653406]
rotation=[0.844545, 0.27161595, -0.4164679, 0.19880366]
rotation=[0.77107453, 0.42836806, -0.2980292, 0.36486092]
rotation=[0.7522013, 0.46608102, -0.28944975, 0.364939]
rotation=[0.8606426, 0.31308752, -0.39509597, 0.07190091]
rotation=[0.8383599, 0.30165488, -0.45002848, 0.060261734]
rotation=[0.81015855, 0.349803, -0.46034858, 0.09674844]
rotation=[0.8842263, 0.089325935, -0.44784847, -0.097961426]
rotation=[0.87897, 0.07746106, -0.45955622, -0.10109161]
rotation=[0.6943391, 0.57657945, -0.3075989, 0.3013838]
rotation=[0.72416943, 0.38175085, -0.49287504, 0.2948205]
rotation=[0.8595101, 0.21754336, -0.4473074, 0.11761556]
rotation=[0.7638958, 0.32951576, -0.50768, 0.22392774]
rotation=[0.7871376, 0.26630807, -0.53386, 0.15648559]
rotation=[0.8556001, 0.20723765, -0.4737285, 0.024130942]
rotation=[0.7900001, 0.32636756, -0.4848741, 0.18515208]
rotation=[0.8182842, 0.28472167, -0.4625189, 0.1882043]
rotation=[0.8657023, 0.13067572, -0.48259386, 0.024218231]
rotation=[0.8569864, 0.20742229, -0.45754138, 0.11491817]
rotation=[0.82481116, 0.18840124, -0.52369887, 0.099654034]
rotation=[0.87531507, 0.05897264, -0.47983032, 0.010427755]
rotation=[0.8537209, -0.076533325, -0.4684779, -0.21408355]
rotation=[0.81103283, 0.37631768, -0.42643103, 0.13699418]
rotation=[0.9224612, 0.12350515, -0.36353585, -0.040663272]
rotation=[0.8500755, -0.089299016, -0.4693893, -0.22151977]
rotation=[0.8765747, 0.021218285, -0.46898273, -0.1059329]
rotation=[0.77313626, 0.43626735, -0.41495138, 0.1993652]
rotation=[0.75244826, 0.48650053, -0.40436223, 0.18338479]
rotation=[0.76461995, 0.40680385, -0.48227337, 0.13145109]
rotation=[0.749594, 0.4541962, -0.43120152, 0.21419589]
rotation=[0.7283899, 0.49320385, -0.39517897, 0.264635]
rotation=[0.8864518, 0.2258356, -0.39876735, 0.06470116]
rotation=[0.86146176, 0.27090794, -0.42076117, 0.08632902]
rotation=[0.8866096, 0.056576613, -0.4559195, -0.053477727]
rotation=[0.9190893, 0.06723256, -0.37844127, -0.086815305]
rotation=[0.8884146, 0.08048537, -0.45121372, -0.025448948]
rotation=[0.8483932, 0.22662024, -0.47289363, 0.07241412]
rotation=[0.7796069, 0.27438256, -0.53520006, 0.17460869]
rotation=[0.8024786, 0.18898289, -0.5595488, 0.08496244]
rotation=[0.8038956, 0.35719237, -0.3928974, 0.26794994]
rotation=[0.88488054, 0.09695073, -0.4538194, -0.040433455]
rotation=[0.77966666, 0.33117014, -0.52855635, 0.055446945]
rotation=[0.7834432, 0.35105532, -0.5108819, 0.044458177]
rotation=[0.8402714, 0.3014282, -0.45014176, 0.021386053]
rotation=[0.8616227, 0.057713527, -0.49763742, -0.08144015]
rotation=[0.82403326, 0.25800675, -0.48467764, 0.13960406]
rotation=[0.87672216, 0.020344824, -0.46186233, 0.13276844]
rotation=[0.9121124, 0.0816499, -0.40098876, -0.024338068]
rotation=[0.8505665, 0.0837995, -0.5188399, -0.017875576]
rotation=[0.8887682, 0.037694946, -0.45261958, -0.06169023]
rotation=[0.8788995, 0.060788855, -0.46996444, -0.054531954]
rotation=[0.8545546, 0.21265057, -0.4678611, 0.07498158]
rotation=[0.828591, 0.27017093, -0.48784634, 0.049502503]
rotation=[0.8367827, 0.24345157, -0.4898153, 0.02463868]
rotation=[0.8868716, 0.107751355, -0.44913495, -0.011234781]
rotation=[0.82999855, 0.33532485, -0.4072449, 0.18113855]
rotation=[0.8635078, 0.23973683, -0.43766332, 0.07301628]
rotation=[0.8778221, 0.048915077, -0.47327492, -0.05519566]
rotation=[0.92182714, 0.030359447, -0.37836874, -0.07842243]
rotation=[0.853899, 0.05271631, -0.51491284, -0.054242287]
rotation=[0.89816946, 0.054115668, -0.4330716, -0.053029425]
rotation=[0.8506364, 0.22506313, -0.1910011, 0.43506646]
rotation=[0.84269327, 0.1265262, -0.5232916, -0.005014017]
rotation=[0.8279645, 0.12999134, -0.5454951, 0.0034948315]
rotation=[0.8357501, 0.31509012, -0.42320693, 0.15210494]
rotation=[0.852542, 0.33034262, -0.37126353, 0.161893]
rotation=[0.8724281, 0.10330796, -0.4749108, -0.051539946]
rotation=[0.76780516, 0.26669228, -0.58100635, 0.042215064]
rotation=[0.8241492, 0.2849496, -0.47572622, 0.11517991]
rotation=[0.89561844, 0.35308573, -0.25856763, 0.07962986]
rotation=[0.9115815, -0.042129595, -0.37915123, 0.15325968]
rotation=[0.8329063, 0.33575612, -0.4212863, 0.12669978]
rotation=[0.86874074, 0.29060754, -0.28009957, 0.28702095]
rotation=[0.7637599, 0.36135885, -0.4681017, 0.2587883]
rotation=[0.9414692, 0.13195239, -0.1885487, 0.24632062]
rotation=[0.88678724, 0.29507872, -0.25239855, 0.25066286]
rotation=[0.93756926, 0.14062521, -0.20168318, 0.24599256]
rotation=[0.7533346, -0.13720223, -0.63271725, 0.11546144]
rotation=[0.86921704, -0.18084414, -0.43054804, -0.16243644]
rotation=[0.73067945, 0.49767444, -0.2562578, 0.3908447]
rotation=[0.85641325, -0.23974384, -0.39997375, -0.22158566]
rotation=[0.75976634, -0.36557245, -0.50660795, -0.18016708]
rotation=[0.8288124, 0.19372375, -0.48904812, 0.1907172]
rotation=[0.8702184, 0.0038197888, -0.4924048, -0.015587988]
rotation=[0.9507776, 0.052747753, -0.30499107, 0.014836615]
rotation=[0.87880814, -0.11522547, -0.46130165, -0.04025238]
rotation=[0.8120126, -0.31466797, -0.38985616, -0.2993857]
rotation=[0.8195342, 0.07932976, -0.5630166, -0.07129394]
rotation=[0.91504276, 0.19550896, -0.28833452, 0.20331343]
rotation=[0.87685096, 0.13545246, -0.4612292, -0.007254726]
rotation=[0.8502583, 0.15144381, -0.5023421, -0.042166565]
rotation=[0.8518257, 0.108661644, -0.51165193, -0.028245324]
rotation=[0.820428, 0.17289689, -0.54264355, 0.050424993]
rotation=[0.82850814, 0.07285347, -0.55199265, -0.059756555]
rotation=[0.8288976, 0.08034851, -0.5507908, -0.05569805]
rotation=[0.72703254, 0.4852135, -0.27460903, 0.4007261]
rotation=[0.6818586, 0.50491476, -0.22228503, 0.48033243]
rotation=[0.6748994, 0.5153084, -0.2189698, 0.48064563]
rotation=[0.79145026, 0.4080731, -0.25620225, 0.3760895]
rotation=[0.770048, 0.4077877, -0.37903467, 0.3115572]
rotation=[0.8118569, 0.3104226, -0.41107294, 0.27485475]
rotation=[0.8553263, -0.011188031, -0.5139708, 0.06423354]
rotation=[0.8324383, 0.020066887, -0.5393256, 0.12558508]
rotation=[0.83676875, 0.14840831, -0.51892036, 0.09227539]
rotation=[0.8670919, -0.028355306, -0.4917561, 0.07432127]
rotation=[0.86298007, -0.1755076, -0.4406824, -0.17395866]
rotation=[0.8598622, -0.37867954, -0.29051882, -0.18121131]
rotation=[0.6420956, 0.34027964, -0.6205833, 0.29461727]
rotation=[0.6523467, 0.32084072, -0.6214047, 0.29216644]
rotation=[0.75574183, 0.29315335, -0.5618338, 0.16510065]
rotation=[0.8903309, 0.040982775, -0.44986922, -0.056999143]
rotation=[0.7396808, 0.36777788, -0.48006892, 0.29520416]
rotation=[0.8000925, 0.39010897, -0.3789519, 0.2531054]
rotation=[0.8949129, 0.025542136, -0.43441886, -0.09878631]
rotation=[0.71999973, 0.19603033, -0.6566125, 0.109692805]
rotation=[0.6453592, 0.6110829, -0.18841515, 0.4178382]
rotation=[0.6803477, 0.582278, -0.3000327, 0.3287243]
rotation=[0.82311577, 0.32831222, -0.4421977, 0.13839318]
rotation=[0.8608022, 0.24082085, -0.4454141, 0.05129598]
rotation=[0.8291049, 0.26801208, -0.4853116, 0.07229962]
